,id,dataset,ref,Jaccard,Dice,Sensitivity,Specificity,PPV,NPV,RelativeVolumeError,HausdorffDistance,ContourMeanDistance,SurfaceDistance,PPVL,SensL,F1_score
0,P3_T3.nii,599,labelsTs,0.534574,0.696707,0.590308,0.999970,0.849894,0.999884,-30.543319,57.297469,4.222585,1.149973,0.772727,0.750000,0.761194
1,P5_T2.nii,599,labelsTs,0.559676,0.717682,0.721627,0.999854,0.713781,0.999860,1.099203,53.898052,5.270816,1.883753,0.705882,0.769231,0.736196
2,P49_T2.nii,599,labelsTs,0.389657,0.560796,0.402808,0.999964,0.922691,0.999358,-56.344197,36.013886,3.926893,0.412395,0.611111,0.684211,0.645598
3,P3_T1.nii,599,labelsTs,0.566943,0.723629,0.642497,0.999945,0.828213,0.999852,-22.423632,43.600459,2.815601,0.374169,0.931034,0.700000,0.799154
4,P35_T1.nii,599,labelsTs,0.633868,0.775911,0.702926,0.999821,0.865808,0.999511,-18.812716,31.144823,1.820420,0.254349,0.896104,0.663462,0.762431
5,P49_T1.nii,599,labelsTs,0.731755,0.845102,0.756000,0.999840,0.958014,0.998823,-21.086750,34.713110,1.289121,0.007981,0.750000,0.633333,0.686747
6,P15_T1.nii,599,labelsTs,0.604536,0.753534,0.844957,0.999904,0.679963,0.999963,24.265130,8.485281,0.752900,0.008482,1.000000,1.000000,1.000000
7,P31_T2.nii,599,labelsTs,0.581162,0.735107,0.596710,0.999976,0.957090,0.999637,-37.653752,25.337719,1.472949,0.000289,0.892857,0.724138,0.799695
8,P5_T1.nii,599,labelsTs,0.218918,0.359200,0.414024,0.999502,0.317198,0.999672,30.525273,46.786750,16.687556,6.034945,0.454545,0.650000,0.534979
9,P31_T1.nii,599,labelsTs,0.589146,0.741462,0.665036,0.999923,0.837735,0.999801,-20.614955,27.604347,1.714564,0.074967,0.909091,0.620690,0.737705
10,P3_T4.nii,599,labelsTs,0.444399,0.615341,0.569393,0.999926,0.669355,0.999887,-14.934037,66.513157,10.900345,4.004858,0.857143,0.652174,0.740741
11,P3_T2.nii,599,labelsTs,0.550077,0.709742,0.680432,0.999948,0.741690,0.999930,-8.259212,38.742741,2.792855,0.003468,0.684211,0.875000,0.767932
